,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
73,475,49,2,3,1,2,4,1,4,3,2,4,3,3,3,4,4,3,5,3
74,477,24,3,2,1,4,4,1,3,3,2,4,2,4,3,3,4,4,4,3
75,478,6,4,2,1,5,5,1,1,5,3,1,1,5,2,5,5,5,1,3
76,479,10,4,1,1,3,3,1,1,4,4,1,1,5,1,5,4,4,1,3
77,480,15,3,1,1,2,3,1,2,4,4,1,2,5,2,5,4,4,2,3
78,4812,10,4,2,1,4,2,3,1,5,3,1,2,3,3,2,2,1,3,2
79,484,50,2,4,1,1,4,1,2,3,4,3,2,4,6,4,5,5,2,3
80,485,30,2,3,2,3,3,2,3,4,3,1,4,5,2,4,2,2,2,2
81,486,25,3,2,1,2,3,1,3,3,3,3,1,3,1,4,4,2,1,3
82,487,65,2,4,1,2,3,3,3,2,3,4,2,4,6,5,4,4,5,4
83,488,16,4,1,2,3,4,1,1,5,4,1,1,5,2,4,4,5,1,3
84,489,1,2,1,1,3,3,1,4,4,5,1,1,3,3,3,3,3,2,3
85,490,51,2,3,1,2,3,1,3,3,3,3,3,5,3,3,3,3,3,1
86,492,2,3,2,1,3,2,1,4,4,3,2,2,4,2,4,4,4,2,4
87,494,50,2,4,1,2,2,1,2,2,3,2,1,2,4,2,2,2,1,4
88,496,30,4,1,1,2,3,1,3,3,5,1,1,5,1,3,3,1,3,3
89,497,15,5,5,1,5,5,1,2,4,4,1,1,5,1,5,5,4,2,2
90,498,28,3,3,1,2,4,3,3,3,3,3,2,4,6,4,4,4,4,4
91,499,1,5,1,1,5,5,1,1,4,4,1,1,5,1,5,5,5,1,3
92,500,19,4,2,1,4,5,1,1,5,4,1,4,3,3,4,5,4,1,3
93,50036,2,4,1,1,1,4,1,1,5,5,1,1,5,2,4,4,4,1,4
94,501,3,4,1,1,4,4,1,2,5,5,1,1,3,3,4,4,4,2,3
95,502,31,2,2,2,2,2,2,5,5,1,5,2,3,3,3,3,3,4,2
96,503,15,4,2,1,4,4,1,2,5,4,1,1,4,1,5,3,3,2,2
97,504,70,2,4,1,1,2,1,2,3,4,5,2,5,6,4,5,4,4,4
98,505,19,4,1,1,4,3,1,3,3,3,4,2,5,6,4,3,4,1,3
99,506,30,4,2,1,4,4,1,2,4,4,2,1,4,2,3,4,4,4,2
100,507,10,4,1,1,5,5,1,2,3,5,2,1,5,1,4,3,3,4,3
101,508,17,3,3,2,2,3,1,3,3,3,3,2,3,4,3,2,3,4,3
102,509,15,2,3,1,1,3,2,4,4,4,2,2,4,7,4,4,5,2,3
103,510,30,3,1,2,2,1,1,4,2,2,5,2,5,3,5,3,2,4,2
104,511,50,4,2,1,4,3,1,3,1,3,3,2,5,1,5,5,5,4,3
105,513,1,5,1,1,5,5,1,1,5,5,3,1,5,1,3,5,5,1,2
106,514,64,2,3,3,2,2,3,3,3,2,2,4,3,4,4,4,4,4,3
107,515,10,4,1,1,4,4,2,2,2,3,3,1,5,1,5,3,4,1,2
108,516,64,1,4,1,1,3,2,1,5,3,3,4,4,1,5,5,5,1,4
109,517,10,4,2,1,4,4,1,3,3,3,4,3,3,5,4,4,3,2,4
110,518,10,2,1,1,3,4,1,3,4,4,3,1,5,3,5,4,3,2,3
111,519,50,1,4,4,1,1,1,1,3,4,1,1,5,5,3,3,3,3,3
112,520,20,2,2,1,3,2,1,4,3,3,3,2,3,2,4,5,5,1,3
113,521,12,3,3,1,2,1,1,4,4,4,5,2,3,2,5,4,4,1,4
114,522,8,2,3,1,2,2,1,3,4,2,3,1,4,5,3,4,3,4,2
115,523,40,2,3,2,2,3,1,2,4,4,2,3,3,5,3,5,5,5,4
116,524,40,3,3,2,3,3,1,2,5,4,2,5,3,6,3,4,4,5,4
117,525,40,2,4,1,2,4,1,2,4,3,3,2,3,4,4,4,4,1,4
118,527,15,4,2,1,4,4,2,2,4,4,2,1,3,2,4,4,4,2,4
