,Q1,Q13_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q5_1,Q6_1,Q9_1,Q8_1,Q7_1,Q10_1,Q11_1
73,483,50,3,1,1,3,3,3,3,4,4,4,1,4,2,3,3,4,2,4
74,484,60,3,5,1,2,3,1,3,4,4,3,3,2,5,4,4,5,2,3
75,485,30,3,4,1,3,4,1,3,4,3,1,3,5,2,4,4,4,1,4
76,486,4,3,2,1,2,3,1,4,4,3,4,1,5,2,5,4,3,2,3
77,487,43,3,4,1,3,4,2,4,3,2,3,2,4,5,4,4,4,4,3
78,488,2,5,1,1,5,5,1,1,5,5,1,1,5,1,5,4,4,1,3
79,489,2,3,1,1,3,3,1,1,5,5,1,1,2,3,3,3,3,2,3
80,490,45,2,3,1,2,4,1,2,4,3,2,2,4,7,3,4,4,3,2
81,492,10,4,1,1,4,3,1,2,4,3,2,2,4,2,3,4,4,3,2
82,494,10,4,2,2,3,4,1,3,4,4,1,2,4,5,1,3,3,1,4
83,496,9,4,1,1,3,2,1,3,4,5,2,1,5,1,3,2,1,3,3
84,497,30,4,2,1,5,3,1,2,4,4,2,1,5,1,5,4,4,2,3
85,498,40,4,3,1,4,4,2,3,4,4,3,2,5,4,4,3,4,2,3
86,499,1,4,1,1,5,1,1,1,4,4,1,1,5,1,4,5,5,1,3
87,500,15,5,2,1,4,4,1,2,4,4,1,2,4,4,4,4,4,1,3
88,501,15,4,1,1,4,3,1,1,5,5,1,1,4,1,5,4,4,1,3
89,502,10,4,2,1,3,4,1,5,5,1,4,2,4,3,3,3,3,2,2
90,503,4,5,2,1,5,5,1,1,5,4,2,1,5,1,5,3,3,1,2
91,504,61,2,4,3,2,3,3,3,3,4,4,2,4,4,4,4,4,4,3
92,505,20,3,2,2,3,3,1,3,3,3,4,2,5,2,4,4,3,4,3
93,506,10,5,1,1,4,4,1,2,4,4,2,2,4,2,4,4,4,2,3
94,507,10,4,2,1,4,4,2,2,2,3,3,1,5,1,4,3,3,4,3
95,508,20,4,3,1,4,4,3,3,3,2,3,2,4,2,4,3,3,2,3
96,509,40,2,3,1,1,3,1,1,5,4,2,3,5,7,3,5,5,5,2
97,510,9,2,1,1,2,2,1,4,2,2,4,1,5,1,4,2,3,2,1
98,511,5,4,2,1,5,1,1,1,3,2,5,1,5,2,4,4,4,5,1
99,513,1,5,1,1,5,5,1,5,5,5,3,1,5,1,5,5,5,1,2
100,514,52,3,3,3,2,2,3,3,2,2,2,3,4,6,4,4,4,4,3
101,515,0,5,1,1,5,5,1,2,4,4,2,1,5,1,4,3,3,1,1
102,516,20,2,2,2,3,3,1,4,4,3,3,2,4,2,5,5,5,1,3
103,517,2,5,1,1,5,5,1,4,3,3,3,1,3,4,4,4,4,1,3
104,518,10,3,1,1,3,4,1,3,4,5,3,1,4,4,4,3,3,2,3
105,519,9,3,2,1,4,5,1,1,3,4,2,1,5,1,5,5,5,3,1
106,520,1,4,2,1,4,3,1,2,4,3,3,2,4,2,5,4,4,1,3
107,521,6,4,4,1,1,4,1,1,4,4,2,1,4,1,4,4,4,1,3
108,522,3,3,1,1,2,1,1,3,3,3,3,1,5,3,3,4,4,2,3
109,523,2,5,2,1,4,3,1,2,3,4,3,1,5,1,4,5,5,1,3
110,524,1,3,2,1,3,3,1,2,4,4,2,3,4,2,3,4,4,3,3
111,525,20,2,3,1,2,4,1,2,4,4,1,2,5,2,4,3,2,2,4
112,527,18,2,2,1,4,4,1,2,4,4,2,1,5,2,4,3,3,2,3
