,Q1,Q5_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4
120,527,7,5,1,1,4,4,1,4,5,4,2
121,528,17,4,1,1,4,3,2,3,4,3,2
122,529,35,3,2,1,3,4,1,3,2,4,4
123,530,40,3,1,1,3,5,1,2,4,4,1
124,531,20,3,2,1,2,4,1,2,4,4,2
125,532,85,3,4,3,2,3,5,5,3,2,3
126,533,16,3,2,1,3,4,1,2,3,3,3
127,534,10,5,1,1,4,5,1,1,5,4,1
128,535,0,4,1,1,3,3,1,1,3,3,1
129,537,6,4,1,1,3,3,1,2,3,4,2
130,538,0,5,1,1,5,5,1,4,4,2,1
131,539,1,5,1,1,5,4,1,2,5,4,1
132,541,0,4,1,1,2,3,1,3,4,3,2
133,542,2,3,2,1,2,3,1,3,4,3,2
134,543,37,4,2,1,3,4,2,3,2,3,4
135,544,74,3,2,1,3,2,2,4,3,2,3
136,545,30,4,2,1,4,5,1,1,4,4,2
137,546,38,4,2,1,2,3,1,1,4,4,2
138,547,1,5,1,1,4,4,1,4,2,3,4
139,548,30,3,1,1,4,4,1,3,4,3,3
140,549,1,4,1,1,5,5,1,1,5,5,1
141,550,10,3,2,1,4,3,2,2,4,3,3
142,551,0,5,1,1,5,5,1,1,4,4,1
143,552,4,4,2,1,4,5,1,2,5,4,3
144,553,50,2,3,1,2,1,2,3,3,2,2
145,555,2,5,1,1,3,5,1,3,3,3,5
146,556,33,2,4,1,4,4,2,2,4,4,2
147,557,26,4,1,1,4,4,1,2,3,3,2
148,560,4,5,2,1,4,2,1,3,3,3,3
149,562,20,4,1,1,4,4,2,2,4,3,4
150,563,45,2,2,1,3,3,4,4,2,3,3
151,564,3,4,1,1,3,4,1,2,4,3,2
