,Q1,Q4_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3
130,541,79,4,1,1,4,3,1,3,3,3
131,542,0,3,2,1,2,3,1,2,3,3
132,543,65,3,3,1,3,3,3,3,2,3
133,544,83,2,4,1,2,2,4,3,3,2
134,545,30,2,2,1,3,1,1,1,5,4
135,546,60,3,2,1,2,4,2,2,5,4
136,547,3,4,1,1,5,4,1,4,3,3
137,549,3,4,1,4,3,4,1,1,5,4
138,550,24,3,1,1,2,3,3,3,3,3
139,551,0,1,1,1,4,5,1,1,5,4
140,552,10,4,1,1,4,4,1,3,4,3
141,553,30,2,3,1,2,1,3,3,3,3
142,554,40,2,3,1,2,3,3,5,1,1
143,555,1,4,1,1,4,5,1,3,3,3
144,556,25,4,4,1,3,4,2,2,4,4
145,557,15,4,1,1,5,5,2,2,3,3
146,561,42,3,1,1,3,4,1,3,4,4
147,562,20,3,2,2,4,4,1,2,4,4
148,563,26,3,2,1,4,3,2,4,3,3
149,564,14,2,2,1,2,4,1,2,3,4
