,Baseline_RT,Baseline_TTL,RI_RT,RI_False_Alarms,Shifting_Congruent_RT,Shifting_Congruent_Accuracy,Shifting_Congruent_FA,Shifting_Incongruent_Accuracy,Shifting_Incongruent_FA,Total_Errors,CogInhib_Incongruent_Accuracy,CogInhib_Incongruent_RT,Conflict_Resolution_Accuracy,Conflict_Resolution_RT,WM_Hits,WM_FA,WM_PR,Min_moves_exit,n_Attempts,WM_Return_Efficiency,VAS_cold,VAS_hot,STAI_cold,STAI_hot,VAS,STAI
76,0.054069312,1.072175975,1.039635018,1.242268585,0.496371707,-0.082199846,,-0.144280195,0.646996639,0.646996639,-0.169365487,0.948745942,-0.138675049,0.08021773,0.534522484,1.086610736,0.317720588,0,0.239045722,-0.851399236,0.01,0,0,0,0.01,0
77,-1.798422173,-0.852273737,0.017265346,-0.724402776,-0.189951789,0,,0.078206189,,,-0.044367825,-0.825831234,0,-0.247262605,,-0.22427972,0.22427972,0,,0.222096025,-0.01,0.22,0.125,0.25,0.01,-0.041666667
78,-1.991634418,-2.129385319,-0.224317306,0.163758804,-1.202380945,-0.070446995,,0.746215051,-0.816496581,-0.816496581,0.112545015,-1.988605409,0,-0.073028351,-0.534522484,-0.075989071,-0.65500911,0,-0.534522484,0.219935461,0.08,0.64,-0.041666667,0.166666667,0.32,0.208333333
79,1.442754523,1.580375899,0.298393881,0.638013237,1.604479942,-0.112247712,0.816496581,-0.807609423,0.707106781,0.973328527,0.072220759,1.518362952,-0.138675049,0.132026377,,0.646216465,-0.646216465,0,,-0.673273627,0.01,0.09,0,0.083333333,0.08,0.25
80,-0.966816576,-1.336359422,-1.071565377,-0.864193282,-0.721727831,0.04605313,,-0.795557284,0.816496581,0.816496581,-0.038407279,-1.25142759,-0.223606798,-0.29545431,-0.534522484,-0.290734794,-0.387878973,0,-0.534522484,0.506418005,0.09,0,0.041666667,-0.083333333,0.09,0.208333333
81,-0.164000979,0.610381997,0.567195086,0.062069959,0.901562968,-0.232530135,0.458831468,-0.524694382,0.528516423,0.694808334,-0.032033443,0.835354557,-0.316227766,-0.323686334,0.795557284,0.578052325,0.396634182,0,0.324442842,-0.742839508,0.08,0.21,0.166666667,0.166666667,0.69,1.166666667
82,-1.030108466,-1.168852099,-0.22939566,-1.046936142,0.397924437,0.062713272,,0.410151556,-0.324442842,-0.324442842,0.229044641,-0.519515698,0,-0.129519434,-0.534522484,-0.795557284,-0.450829395,0,-0.534522484,0.659062163,0,0.1,0,-0.083333333,0.28,0.416666667
83,-1.004128202,-0.679072835,0.983497844,0.337282919,0.135794481,-0.567405567,,-0.464696148,0.646996639,0.646996639,-0.181429521,1.069620381,0,-0.024078303,0.534522484,0.960030721,0.384063852,0,0.388922234,-0.866514657,0.03,0.06,0.166666667,0.25,0.09,0.083333333
84,-0.583262719,-0.218077587,-0.789051574,-0.017167455,-0.807325631,0.036752651,,0.534522484,,,-0.33052943,-1.154985162,0,-0.213942267,,-0.486216638,0.486216638,0,,0.503508815,-0.02,0.03,0,0.041666667,0.05,0.125
85,0.502154223,-0.011687659,1.46438716,-0.043792599,2.778015994,-0.349763989,,-0.592928266,1.031421246,1.031421246,-0.239188159,0.819459649,0,0.37262846,-0.261920684,-0.052069681,-0.326698799,0,0.324442842,-0.176837016,-0.02,0.4,-0.041666667,0.291666667,0.34,0.25
